ID,Key_ID,Velocity,Time_Played
144,29,46,1509854852.037
144,31,28,1509854852.134
144,33,49,1509854852.291
144,35,59,1509854852.351
144,29,43,1509854852.513
144,31,37,1509854852.648
144,35,58,1509854852.734
144,33,61,1509854852.87
144,31,54,1509854852.984
144,29,54,1509854853.005
144,35,61,1509854853.144
144,33,57,1509854853.244
144,31,62,1509854853.342
144,29,49,1509854853.435
144,35,58,1509854853.537
144,33,57,1509854854.008
144,31,62,1509854854.205
144,29,53,1509854854.427
144,35,53,1509854854.622
144,33,58,1509854855.021
144,31,66,1509854855.198
144,29,58,1509854855.409
144,35,53,1509854855.512
144,29,49,1509854856.133
144,35,48,1509854856.623
144,33,47,1509854857.008
144,31,57,1509854857.395
144,29,61,1509854857.618
144,35,57,1509854950.165
144,36,55,1509854950.279
144,38,53,1509854950.433
144,40,55,1509854950.509
144,38,52,1509854950.73
144,36,55,1509854950.919
144,35,51,1509854951.141
144,40,46,1509854951.421
144,38,61,1509854951.709
144,36,59,1509854951.959
144,35,50,1509854952.28
144,36,52,1509854952.584
144,38,59,1509854952.9
144,40,58,1509854953.305
144,38,55,1509854953.588
144,36,55,1509854953.887
144,35,50,1509854954.17
144,36,53,1509854954.452
144,38,57,1509854954.771
144,40,59,1509854955.09
144,38,53,1509854955.383
144,36,57,1509854955.71
144,35,49,1509854955.971
144,36,52,1509854956.274
144,38,59,1509854956.528
144,40,61,1509854956.842
144,38,54,1509854957.142
144,36,53,1509854957.489
144,35,53,1509854957.781
144,36,50,1509854958.073
144,36,51,1509854958.423
144,38,46,1509854958.735
144,40,46,1509854959.017
144,38,51,1509854959.305
144,36,53,1509854959.613
144,35,53,1509854959.889
144,36,54,1509854960.146
144,38,54,1509854960.499
144,40,54,1509854960.821
144,38,51,1509854961.091
144,40,54,1509854963.98
144,38,55,1509854964.221
144,36,53,1509854964.56
144,35,53,1509854964.799
144,36,54,1509854965.05
144,38,54,1509854965.282
144,40,58,1509854965.627
144,38,52,1509854965.944
144,36,53,1509854966.196
144,35,52,1509854966.548
144,41,47,1509854967.92
144,40,49,1509854967.962
144,38,49,1509854968.09
144,36,49,1509854968.18
144,35,50,1509854968.26
144,41,47,1509854968.457
144,40,50,1509854968.484
144,38,49,1509854968.612
144,36,49,1509854968.696
144,33,54,1509855044.439
144,35,55,1509855044.615
144,36,57,1509855044.768
144,38,39,1509855044.964
144,40,52,1509855044.998
144,38,32,1509855045.16
144,36,52,1509855045.291
144,35,57,1509855045.381
144,33,52,1509855045.501
144,40,53,1509855045.757
144,38,53,1509855045.789
144,36,53,1509855045.923
144,35,53,1509855045.999
144,33,55,1509855046.082
144,35,45,1509855057.248
144,33,44,1509855057.325
144,31,47,1509855057.527
144,36,46,1509855057.587
144,35,54,1509855057.79
144,33,62,1509855057.875
144,31,59,1509855057.99
144,36,59,1509855058.114
144,41,53,1509855128.954
144,43,61,1509855129.175
144,45,59,1509855129.3
144,48,56,1509855129.479
144,47,47,1509855129.529
144,45,58,1509855129.76
144,43,62,1509855129.876
144,41,58,1509855129.98
144,48,65,1509855130.458
144,47,46,1509855130.546
144,45,59,1509855130.674
144,43,63,1509855130.766
144,41,61,1509855130.871
144,45,67,1509855131.961
144,45,58,1509855132.213
144,46,69,1509855132.716
144,46,71,1509855132.875
144,41,45,1509855133.0
144,46,64,1509855133.116
144,41,53,1509855133.268
144,47,56,1509855133.606
144,48,38,1509855133.648
144,45,47,1509855133.694
144,43,61,1509855133.795
144,41,54,1509855133.84
144,48,63,1509855134.044
144,47,31,1509855134.168
144,45,59,1509855134.255
144,41,39,1509855134.46
144,46,68,1509855134.574
144,41,57,1509855134.771
144,48,57,1509855134.941
144,47,54,1509855134.998
144,45,62,1509855135.092
144,43,67,1509855135.174
144,36,59,1509855135.495
144,59,64,1509855135.91
144,33,58,1509855136.479
144,35,45,1509855136.508
144,36,38,1509855136.548
144,38,35,1509855136.551
144,55,52,1509855136.962
144,53,67,1509855137.006
144,57,46,1509855137.009
144,52,58,1509855137.012
144,50,53,1509855137.014
144,48,61,1509855137.016
144,38,57,1509855137.578
144,36,49,1509855137.58
144,33,66,1509855137.583
144,35,59,1509855137.585
144,52,43,1509855138.174
144,60,61,1509855138.179
144,53,59,1509855138.181
144,59,65,1509855138.202
144,57,70,1509855138.209
